Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2018-11-07 16:44:00,73.5011,43.8657
2018-11-07 16:59:00,72.6517,43.6826
2018-11-07 17:14:00,72.4200,43.6216
2018-11-07 17:29:00,72.3428,43.5911
2018-11-07 17:44:00,72.3235,43.5300
2018-11-07 17:59:00,72.2849,43.4385
2018-11-07 18:14:00,72.2849,43.4385
2018-11-07 18:29:00,72.3428,43.4385
2018-11-07 18:44:00,72.4007,43.4385
2018-11-07 18:59:00,72.4394,43.4385
2018-11-07 19:14:00,72.4587,43.4690
2018-11-07 19:29:00,72.4780,43.4995
2018-11-07 19:44:00,72.5745,43.5300
2018-11-07 19:59:00,72.5938,43.6216
2018-11-07 20:14:00,72.6324,43.6216
2018-11-07 20:29:00,72.6710,43.6521
2018-11-07 20:44:00,72.7096,43.6826
2018-11-07 20:59:00,72.7289,43.7131
2018-11-07 21:14:00,72.7675,43.8047
2018-11-07 21:29:00,72.8061,43.8047
2018-11-07 21:44:00,72.8255,43.8352
2018-11-07 21:59:00,72.8641,43.8352
2018-11-07 22:14:00,72.8641,43.8657
2018-11-07 22:29:00,72.8641,43.8657
2018-11-07 22:44:00,72.8641,43.8962
2018-11-07 22:59:00,72.8641,43.8962
2018-11-07 23:14:00,72.8641,43.9268
2018-11-07 23:29:00,72.8641,43.9268
2018-11-07 23:44:00,72.8834,43.9573
2018-11-07 23:59:00,72.8641,43.9573
2018-11-08 00:14:00,72.8641,43.9878
2018-11-08 00:29:00,72.8641,43.9878
2018-11-08 00:44:00,72.8641,44.0183
2018-11-08 00:59:00,72.8448,44.0488
2018-11-08 01:14:00,72.8255,44.0488
2018-11-08 01:29:00,72.8255,44.0488
2018-11-08 01:44:00,72.8061,44.1099
2018-11-08 01:59:00,72.7868,44.1099
2018-11-08 02:14:00,72.7675,44.1099
2018-11-08 02:29:00,72.7675,44.1404
2018-11-08 02:44:00,72.7482,44.1099
2018-11-08 02:59:00,72.7482,44.1099
2018-11-08 03:14:00,72.7482,44.1099
2018-11-08 03:29:00,72.7289,44.1099
2018-11-08 03:44:00,72.7289,44.1099
2018-11-08 03:59:00,72.7096,44.1099
2018-11-08 04:14:00,72.6903,44.1099
2018-11-08 04:29:00,72.6903,44.1099
2018-11-08 04:44:00,72.6710,44.0793
2018-11-08 04:59:00,72.6710,44.0793
2018-11-08 05:14:00,72.6517,44.0793
2018-11-08 05:29:00,72.6324,44.0488
2018-11-08 05:44:00,72.6324,44.0488
2018-11-08 05:59:00,72.6131,44.0488
2018-11-08 06:14:00,72.5938,44.0488
2018-11-08 06:29:00,72.5745,44.0183
2018-11-08 06:44:00,72.4973,43.8962
2018-11-08 06:59:00,72.3428,43.6521
2018-11-08 07:14:00,72.2270,43.4080
2018-11-08 07:29:00,72.0726,43.1333
2018-11-08 07:44:00,71.9760,42.8281
2018-11-08 07:59:00,71.8795,42.6145
2018-11-08 08:14:00,71.8023,42.3398
2018-11-08 08:29:00,71.7251,42.0652
2018-11-08 08:44:00,71.6478,41.8210
2018-11-08 08:59:00,71.5706,41.5769
2018-11-08 09:14:00,71.5127,41.3938
2018-11-08 09:29:00,71.4741,41.1802
2018-11-08 09:44:00,71.4162,40.9971
2018-11-08 09:59:00,71.4355,40.8140
2018-11-08 10:14:00,71.4934,40.6309
2018-11-08 10:29:00,71.5127,40.4783
2018-11-08 10:44:00,71.5513,40.2952
2018-11-08 10:59:00,71.5513,40.1426
2018-11-08 11:14:00,71.5513,39.9595
